ID,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,Is_Term,Years_in_curent_job_new,Is_Home_Ownership,Is_Purpose,Is_Purpose_business loan,Is_Purpose_other,Is_Purpose_renewable energy,Is_Purpose_small business
25,Rent,-0.015327672298759547,10+ years,0.0,-1.6564679410944907,1.6306997100161047,1.2996804223816003,-0.36506559973848624,34.39315158149607,0.0,other,Short Term,-0.9472663965764432,2.3484200661221997,0.3279017154420993,0.010946230690019118,0,0,1.1640135221007732,0,other,0,1,0,0
26,Home Mortgage,-0.5237643389655491,2 years,0.0,1.8068435686565676,-0.3575197253197511,0.30782217429593856,-0.36506559973848624,33.33617151179199,0.0,other,Short Term,-1.1736031677977425,-0.012456293315119266,-0.10636067200361381,0.89278032932222,0,0,-0.9239031094701204,1,other,0,1,0,0
27,Rent,-0.4571527149449746,8 years,0.0,-0.8415711152485453,-0.5421401014580807,-0.5556040734568968,-0.36506559973848624,35.18516506475482,0.0,debt consolidation,Short Term,-1.0484410708054819,-0.2953191096933289,-1.0291368013413378,0.572113384365056,0,0,0.6420343642080498,0,other,0,1,0,0
28,Home Mortgage,-0.8279413903143749,10+ years,0.0,0.1770499170226519,0.16793826830472494,-0.13380682157240859,-0.36506559973848624,33.93502057714506,0.0,debt consolidation,Short Term,-0.689579726298258,-0.08657926294930776,-0.37795284673554363,0.812613593082929,0,0,1.1640135221007732,1,other,0,1,0,0
29,Rent,0.14029756883123415,10+ years,0.0,-0.43412270234006645,0.04012416174742014,-0.8469816331286275,-0.36506559973848624,5.9999999999999885,0.0,debt consolidation,Short Term,0.40149176057545866,-0.6827909557972078,0.3385507448310944,-0.05607226956227021,1,0,1.1640135221007732,0,other,0,1,0,0
30,Rent,-0.952411341913831,7 years,0.0,-0.637846908794306,-0.6131479384343612,-0.7678805312704569,2.7392337177656487,42.06755910703998,1.0,debt consolidation,Short Term,-1.0484410708054819,-0.44721142085500065,-1.0218417969567506,-0.029137137429626373,0,0,0.3810447852616881,0,other,0,1,0,0
31,Own Home,-0.09550209630041856,10+ years,0.0,-0.026674289431587547,0.30995394225728606,0.5063203133963392,-0.36506559973848624,33.33969115130788,0.0,debt consolidation,Long Term,-1.0484410708054819,1.1030346230910029,0.6904718184185934,-0.4700541867457268,0,1,1.1640135221007732,0,other,0,1,0,0
32,Home Mortgage,0.20451473448683333,10+ years,0.0,1.603119362202328,0.9490244750438112,1.4458209503719954,-0.36506559973848624,14.0,0.0,debt consolidation,Short Term,-0.09903787777594708,0.646042604660865,0.8328501798557089,0.2514464394078921,1,0,1.1640135221007732,1,other,0,1,0,0
33,Home Mortgage,-0.3225064697040327,< 1 year,0.0,0.3807741234768914,0.3809617792335666,-1.0215822948544009,-0.36506559973848624,11.0,0.0,other,Short Term,-1.101522149890435,-0.7221837275624742,-0.3615181242139449,0.03224200481458938,1,0,-1.445882267362844,1,other,0,1,0,0
34,Rent,0.6756056061702467,3 years,0.0,-1.045295321702785,-1.1528074994540936,0.4183197728939313,-0.36506559973848624,34.56989067479675,0.0,take a trip,Short Term,-1.2930652831432972,0.81987292377072,0.295535374149563,0.0911129669293101,0,0,-0.6629135305237588,0,other,0,1,0,0
35,Rent,-0.39885543908207727,< 1 year,0.0,-0.43412270234006645,1.8579247883402021,1.7620898333583188,-0.36506559973848624,32.0,0.0,buy a car,Short Term,-0.691242220945214,-0.11210386620237106,-0.9470470393584544,0.2628910740264835,0,0,-1.445882267362844,0,other,0,1,0,0
36,Home Mortgage,-0.0028566470416316533,6 years,0.0,-0.637846908794306,-0.5421401014580807,-0.3896318014826428,-0.36506559973848624,14.0,0.0,other,Long Term,2.072298880766271,-0.2613660074737974,0.04457045319474177,-0.07623225919190865,1,1,0.12005520631532639,1,other,0,1,0,0
37,Rent,-0.44576622688640766,5 years,0.0,0.3807741234768914,-0.045085242624116735,0.01987790059863447,-0.36506559973848624,34.171098042859036,0.0,debt consolidation,Short Term,-0.866872905434355,-0.21396317286096558,-0.6295885726912465,0.022582804215127306,1,0,-0.14093437263103534,0,other,0,1,0,0
38,Rent,0.0384666247893362,6 years,0.0,0.7882225363853703,-0.10189151220514098,1.8094782147684965,-0.36506559973848624,75.0,0.0,debt consolidation,Short Term,-0.8791041160512458,-0.7268463014588182,-0.6804020515080261,1.2134472742814253,0,0,0.12005520631532639,0,other,0,1,0,0
39,Home Mortgage,-0.649580951556035,7 years,0.0,0.1770499170226519,-1.522048251731666,-0.5364499517048327,-0.36506559973848624,42.142021687632216,0.0,debt consolidation,Short Term,-0.5837738169812705,-0.40716110661717303,0.2979670422777587,0.29152980752753754,1,0,0.3810447852616881,1,other,0,1,0,0
40,Rent,-0.829552574000071,10+ years,0.0,0.3807741234768914,0.7644040989054816,-0.5323390434986114,-0.36506559973848624,65.0,0.0,debt consolidation,Long Term,-0.20258754435778,-0.2878470361414954,-0.3055897572654432,-1.9932221752922554,1,1,1.1640135221007732,0,other,0,1,0,0
41,Rent,-0.01886265740021242,10+ years,0.0,1.8068435686565676,-0.4711322644818001,0.3376827273103593,-0.36506559973848624,10.0,0.0,debt consolidation,Short Term,-0.22835621138559853,0.05270018805686901,-0.7798488928887205,0.05102959880966461,0,0,1.1640135221007732,0,other,0,1,0,0
42,Own Home,-0.5071168199416858,4 years,0.0,2.2142919815643936,-1.0533965276873007,0.05353313811110568,-0.36506559973848624,28.0,0.0,debt consolidation,Long Term,0.23357980123289931,0.03410966905990722,-0.37485037360646634,-0.1309569356222915,1,1,-0.4019239515773971,0,other,0,1,0,0
43,Home Mortgage,-0.4459111411351182,10+ years,0.0,-0.230398495885827,-1.2664200386161424,-0.5139528936092479,-0.36506559973848624,34.66237077927318,0.0,debt consolidation,Short Term,-0.49874909075123336,-0.38982589597691925,-0.5268715569312544,-0.10170293725263405,1,0,1.1640135221007732,1,other,0,1,0,0
44,Have Mortgage,-0.03923090488953611,10+ years,0.0,1.195670949293849,-0.4143259949007756,-1.2299285437235512,2.7392337177656487,35.0,0.0,take a trip,Short Term,-1.3517275942573168,1.1534262871245682,1.3451774992790158,0.37169654376682854,0,0,1.1640135221007732,0,other,0,1,0,0
45,Home Mortgage,0.6311985072292573,10+ years,0.0,-0.230398495885827,0.43776804881459086,1.0381634157242905,2.7392337177656487,40.06457467518324,1.0,debt consolidation,Long Term,2.6478782774659777,0.9608858958409221,0.8873530861773372,-0.24564354425664964,0,1,1.1640135221007732,1,other,0,1,0,0
46,Home Mortgage,0.45083345825677734,10+ years,0.0,-1.045295321702785,1.2756605251347017,-0.6886439049659273,-0.36506559973848624,5.99999999999999,0.0,debt consolidation,Short Term,-1.0484410708054819,-0.5300617723977308,0.43707522933557647,0.1311963350489556,0,0,1.1640135221007732,1,other,0,1,0,0
47,Own Home,0.2697396953302933,5 years,0.0,1.3993951557480886,-0.045085242624116735,1.742303264189913,-0.36506559973848624,33.19802435699968,0.0,debt consolidation,Short Term,-0.36729326402406703,1.0152825912982701,0.4800067493919976,-0.09184096511656553,0,0,-0.14093437263103534,0,other,0,1,0,0
48,Home Mortgage,0.18826179504514795,8 years,0.0,0.5844983299311308,0.05432572914267595,-0.7110957882460591,-0.36506559973848624,29.0,0.0,home improvements,Long Term,0.21731110361625813,-0.6139283259435101,0.5610064532484484,-0.09292204449856681,1,1,0.6420343642080498,1,other,0,1,0,0
49,Rent,-0.008082945330408252,5 years,0.0,-0.637846908794306,-0.18710091657667785,-0.8567393932664715,-0.36506559973848624,13.0,0.0,debt consolidation,Short Term,0.38759805531161184,-0.5711282886386078,0.058489656963034556,-0.046838492141904366,1,0,-0.14093437263103534,0,other,0,1,0,0
50,Rent,-0.8851023398800447,3 years,0.0,-1.045295321702785,0.5513805879766399,-0.6557114645007038,-0.36506559973848624,34.47677134790734,0.0,debt consolidation,Long Term,-0.34128709776096905,-0.34200462524518477,-0.7492434147234983,-0.14938724178856286,0,1,-0.6629135305237588,0,other,0,1,0,0
51,Home Mortgage,0.19797380967326067,3 years,0.0,0.1770499170226519,-1.1244043646635813,0.6199349742605877,-0.36506559973848624,33.79040913551447,0.0,debt consolidation,Short Term,-0.8171168156433137,-0.14814914901641596,0.1762159346177519,0.89278032932222,1,0,-0.6629135305237588,1,other,0,1,0,0
52,Rent,-0.5678915339394677,3 years,0.0,-0.637846908794306,-1.2522184712208864,-0.07146557624729412,-0.36506559973848624,34.71025660346753,0.0,debt consolidation,Short Term,-0.09832538007010877,-0.3354889771079859,-0.434132765559376,0.9729470655615109,0,0,-0.6629135305237588,0,other,0,1,0,0
53,Home Mortgage,1.1537183530211719,10+ years,0.0,1.603119362202328,2.283971810217315,2.2316820399920614,-0.36506559973848624,8.0,0.0,debt consolidation,Long Term,2.6199721173206427,-0.06906472254380999,-0.37107709547650747,-0.5101375548653723,0,1,1.1640135221007732,1,other,0,1,0,0
54,Home Mortgage,-0.7680118554698584,10+ years,0.0,-0.8415711152485453,-0.10189151220514098,-0.6267092329798897,2.7392337177656487,71.0,1.0,debt consolidation,Short Term,-0.5830613192754323,-0.4400980068336552,-1.219813122841927,-0.09577728985680085,1,0,1.1640135221007732,1,other,0,1,0,0
55,Rent,-0.03946278798883186,6 years,0.0,-0.8415711152485453,-0.045085242624116735,-1.0469705411389763,-0.36506559973848624,13.0,0.0,small business,Long Term,-0.8269730339074103,-0.7884161875259265,0.0030643937651939827,-0.02673228319277794,0,1,0.12005520631532639,0,small business,0,0,0,1
56,Rent,0.19708405151847322,10+ years,0.0,-0.8415711152485453,0.12533356611895652,-0.2882595156061523,-0.36506559973848624,33.95874114091028,0.0,home improvements,Short Term,0.9964273449504392,-0.903127460693675,-0.4569401355893497,1.133280538040093,0,0,1.1640135221007732,0,other,0,1,0,0
57,Rent,-0.8172402449392284,2 years,0.0,-0.8415711152485453,-0.2865118883434705,-1.1533572315307474,2.7392337177656487,41.203676586145384,0.0,debt consolidation,Long Term,-1.1458157572700485,-0.8251190128125325,-0.4798313562444337,0.0911129669293101,1,1,-0.9239031094701204,0,other,0,1,0,0
58,Home Mortgage,-0.47134075038618,Unknown,0.0,1.195670949293849,0.40936491402407876,1.0946319350405174,-0.36506559973848624,32.43614222356396,0.0,debt consolidation,Short Term,-0.40873688058032814,0.014024735352578723,0.6010870520511229,0.7725302249632835,0,0,-1.7068718463092056,1,other,0,1,0,0
59,Rent,-0.3124746625651126,< 1 year,0.0,-0.43412270234006645,-1.081799662477813,0.08854362008716635,-0.36506559973848624,34.76914005710057,0.0,debt consolidation,Short Term,0.1537800581790097,0.021556585492826907,-0.4451171974488119,-0.0832899432579273,1,0,-1.445882267362844,0,other,0,1,0,0
60,Home Mortgage,0.3351168030990139,Unknown,0.0,-0.230398495885827,-0.14449621439090943,0.20152583353507306,-0.36506559973848624,34.91230903159333,0.0,debt consolidation,Long Term,-0.28701852249961857,-0.09172004955296922,-1.01739771382591,-0.22955397802785382,0,1,-1.7068718463092056,1,other,0,1,0,0
61,Home Mortgage,-0.6312807905886497,1 year,0.0,0.7882225363853703,-0.7693651797821784,-0.7375230552860533,-0.36506559973848624,34.09236213874136,0.0,debt consolidation,Long Term,-1.0484410708054819,-0.5000539250135673,-0.548756570085016,-0.7506377635832452,0,1,-1.1848926884164823,1,other,0,1,0,0
62,Home Mortgage,0.38679491862977733,6 years,0.0,-0.637846908794306,-0.329116590529239,-0.7506237517674179,-0.36506559973848624,61.0,0.0,debt consolidation,Long Term,0.27003593384829233,-0.526236070739192,0.4724601931320798,-0.5903042911046633,0,1,0.12005520631532639,1,other,0,1,0,0
63,Rent,-1.0017568482279895,1 year,0.0,-0.8415711152485453,-0.2439071861577021,-0.8251621972648374,-0.36506559973848624,54.0,0.0,debt consolidation,Short Term,-0.5741550979524535,-0.5508640251660353,-0.47320715686072806,0.6121967524847015,1,0,-1.1848926884164823,0,other,0,1,0,0
64,Rent,0.5018106018859996,< 1 year,0.0,-0.230398495885827,-0.3859228601102635,0.2026100291059446,-0.36506559973848624,33.15688273743574,0.0,debt consolidation,Short Term,-0.6856609889161474,0.3411222271576428,0.8185955735869753,-0.14137770331785798,0,0,-1.445882267362844,0,other,0,1,0,0
65,Rent,-0.10774228280817034,10+ years,0.0,-0.637846908794306,-0.7125589102011539,-0.4846796131957159,-0.36506559973848624,34.22007949050009,0.0,debt consolidation,Short Term,0.18916744423564527,-0.26692523019636155,-0.1581803583217159,0.8526969612025744,1,0,1.1640135221007732,0,other,0,1,0,0
66,Home Mortgage,-0.0417370771340385,10+ years,0.0,-0.026674289431587547,-0.9965902581062761,0.19393646453897218,2.7392337177656487,40.5629301901784,1.0,debt consolidation,Short Term,-0.09250664880576266,-0.44649410179402466,0.2638398378579083,-0.3436886923707848,0,0,1.1640135221007732,1,other,0,1,0,0
67,Rent,-0.12140127286004267,< 1 year,0.0,-0.8415711152485453,-0.3575197253197511,-0.7463321442993847,-0.36506559973848624,35.15487943684199,0.0,debt consolidation,Short Term,-1.0484410708054819,-0.37111582380312813,-1.1010806376858873,1.0931971699204475,0,0,-1.445882267362844,0,other,0,1,0,0
68,Rent,1.003060654649728,4 years,0.0,-0.230398495885827,0.5513805879766399,0.12608389172859397,-0.36506559973848624,13.0,0.0,debt consolidation,Short Term,1.0720708513869386,0.6438308708895223,1.7813684511022634,0.9328636974418655,0,0,-0.4019239515773971,0,other,0,1,0,0
69,Home Mortgage,0.05477084178787393,2 years,0.0,0.1770499170226519,-0.11609307960039729,0.20757925880577258,-0.36506559973848624,21.0,0.0,other,Long Term,1.308738839342894,-0.3640024097817826,-0.7541906016050001,-2.9151396420413085,1,1,-0.9239031094701204,1,other,0,1,0,0
70,Home Mortgage,-0.9508723007812258,6 years,0.0,-1.2490195281570242,-0.2865118883434705,-1.0307527823913558,-0.36506559973848624,34.91294288398976,0.0,buy a car,Short Term,-0.728173352031166,-0.8175273860838699,-0.9908170656659775,0.9729470655615109,0,0,0.12005520631532639,1,other,0,1,0,0
71,Rent,0.8378729336925272,10+ years,0.0,-0.637846908794306,-0.7409620449916663,0.40842648830972833,-0.36506559973848624,32.712065247771086,0.0,debt consolidation,Short Term,0.1353738674448536,0.2219874864472092,1.4016089699781789,-0.22768240419074656,0,0,1.1640135221007732,0,other,0,1,0,0
72,Rent,-0.2850927258232379,10+ years,0.0,-0.43412270234006645,-0.329116590529239,0.36853712626474566,-0.36506559973848624,33.99677276625219,0.0,debt consolidation,Long Term,0.9632962016289582,0.39318763566681875,0.13714154331639986,0.21136307128824658,0,1,1.1640135221007732,0,other,0,1,0,0
73,Home Mortgage,0.33716084210325536,8 years,0.0,-0.43412270234006645,-0.8829777189442274,0.540969396848776,-0.36506559973848624,35.23719624852281,0.0,other,Short Term,0.3677668691657791,-0.42210525372084007,-1.1354593939810682,-0.06922050554927187,1,0,0.6420343642080498,1,other,0,1,0,0
74,Home Mortgage,0.08843736656361557,< 1 year,0.0,-0.230398495885827,0.40936491402407876,2.145669191369585,-0.36506559973848624,68.0,0.0,debt consolidation,Long Term,0.8614090296940813,1.5492668556065006,0.8529743298821563,-1.8328887028136736,0,1,-1.445882267362844,1,other,0,1,0,0
75,Own Home,0.5138936494854272,10+ years,0.0,1.195670949293849,2.014142029713222,3.53940259772497,-0.36506559973848624,31.14946403468382,0.0,other,Short Term,0.8887214417512161,-0.48271871437331354,0.9228219005989509,0.06911493312433706,0,0,1.1640135221007732,0,other,0,1,0,0
76,Rent,-0.7049142897767361,5 years,0.0,0.1770499170226519,-0.3717212927150074,0.06816977831787169,-0.36506559973848624,34.620650780919924,0.0,debt consolidation,Short Term,-1.0484410708054819,-0.11999437587310725,-0.812718337931918,1.053113801800802,0,0,-0.14093437263103534,0,other,0,1,0,0
77,Rent,-0.2536385726756164,3 years,0.0,1.603119362202328,-0.7977683145726908,-0.6620811134795742,-0.36506559973848624,33.74197771931862,0.0,debt consolidation,Short Term,-0.5840113162165499,-0.6203244209038796,-0.5182349425449041,0.37169654376682854,1,0,-0.6629135305237588,0,other,0,1,0,0
78,Rent,-0.5977316744316107,1 year,0.0,-0.8415711152485453,-1.323226308197167,-0.3772539020485259,-0.36506559973848624,35.32429176067117,0.0,debt consolidation,Short Term,-0.5888800505397783,-0.3285548928518844,-0.8870938424046632,-0.060782891688082305,0,0,-1.1848926884164823,0,other,0,1,0,0
79,Rent,-0.4802383319340546,8 years,0.0,-0.026674289431587547,-0.03088367522886042,-0.7620078052615693,-0.36506559973848624,51.0,0.0,debt consolidation,Short Term,-0.9447726546060091,-0.5818282979648334,-0.6677406071163864,0.37169654376682854,1,0,0.6420343642080498,0,other,0,1,0,0
80,Rent,0.11989828182815855,10+ years,0.0,-1.045295321702785,2.6248094276828633,-0.6879662827341326,-0.36506559973848624,70.00000000000001,0.0,debt consolidation,Long Term,-0.9267227127247722,-0.7225423870929621,-0.1170935520177191,0.25635643981144174,0,1,1.1640135221007732,0,other,0,1,0,0
81,Have Mortgage,-0.3201540066254031,< 1 year,0.0,-0.8415711152485453,-1.323226308197167,-1.062375153208443,-0.36506559973848624,34.32534050651777,0.0,take a trip,Short Term,-0.8352855071421904,-0.7768195293734809,-0.201950384629239,-0.6303876592243087,1,0,-1.445882267362844,0,other,0,1,0,0
82,Home Mortgage,-0.46056746245794267,6 years,0.0,-1.045295321702785,-0.2581087535529584,0.11564850935895524,-0.36506559973848624,34.293924367508744,0.0,debt consolidation,Short Term,-0.9400226699004205,0.014024735352578723,-0.14325494705210073,1.0130304336811564,0,0,0.12005520631532639,1,other,0,1,0,0
83,Rent,0.6265486700684517,3 years,0.0,1.3993951557480886,-0.2723103209482147,1.0703278843268131,-0.36506559973848624,31.038988128805606,0.0,other,Short Term,-0.9026165403439097,1.2826632712770807,2.597989689050483,1.1733639061533176,0,0,-0.6629135305237588,0,other,0,1,0,0
84,Home Mortgage,1.4856943348276814,6 years,0.0,0.3807741234768914,-0.15869778178616573,1.2576226691948744,-0.36506559973848624,31.047421575835973,0.0,debt consolidation,Short Term,0.52665385756772,1.0894055609324587,2.7578928311356266,0.89278032932222,0,0,0.12005520631532639,1,other,0,1,0,0
85,Home Mortgage,-0.08054454029291049,9 years,0.0,1.195670949293849,-0.045085242624116735,-1.2299285437235514,-0.36506559973848624,34.36884638477487,0.0,debt consolidation,Short Term,1.6662939380560808,2.1081181806952336,-0.12589786765428984,1.133280538040093,0,0,0.9030239431544116,1,other,0,1,0,0
86,Home Mortgage,0.72095922454671,5 years,0.0,-0.43412270234006645,-0.045085242624116735,0.3503768504526471,-0.36506559973848624,51.0,0.0,debt consolidation,Short Term,0.5760536985058422,0.4390362789808692,0.07324736698242933,1.0130304336811564,0,0,-0.14093437263103534,1,other,0,1,0,0
87,Home Mortgage,0.21302755575155657,7 years,0.0,-0.026674289431587547,-0.4995353992723122,0.23920162962285962,-0.36506559973848624,19.0,0.0,debt consolidation,Short Term,-0.39246818296368696,-0.013711601671827297,-0.014041133757286316,0.9729470655615109,1,0,0.3810447852616881,1,other,0,1,0,0
88,Home Mortgage,0.012423163123530345,10+ years,0.0,1.3993951557480886,1.9431341927302637,4.257817687873735,-0.36506559973848624,22.0,0.0,debt consolidation,Long Term,2.473435089153233,1.2230660126276567,-0.02712183127447713,0.37169654376682854,0,1,1.1640135221007732,1,other,0,1,0,0
89,Home Mortgage,-0.4095386299049972,10+ years,0.0,0.3807741234768914,0.15373670090946864,-0.09784766847183532,-0.36506559973848624,16.0,0.0,debt consolidation,Short Term,-0.9898975093091015,-0.38456555619642846,-0.4751357212382626,0.6923634887239924,0,0,1.1640135221007732,1,other,0,1,0,0
90,Rent,-0.07734622043921503,10+ years,0.0,-1.045295321702785,-0.7693651797821784,-0.958021329512056,2.7392337177656487,41.420808710006895,1.0,other,Short Term,-0.5771238383934464,-0.60496183768131,-0.3418970779381587,-1.872972070933319,0,0,1.1640135221007732,0,other,0,1,0,0
